winner,weekID,AwayTeam,HomeTeam,Location,Points,rank,EWETL,EWETW
The Peppy Kids,1,Heartbreak Kid,The Peppy Kids,awaypoints,94.66,11,10,1
Team Aponte,1,Team Aponte,Soup du Jour,awaypoints,124.52,3,2,9
Dillon Panthers,1,Dillon Panthers,Just Drew  It,awaypoints,108,7,6,5
NightTraen Reign,1,NightTraen Reign,B1G HAUS,awaypoints,112.62,5,4,7
Hart attack,1,Breaston Plants Inc,Hart attack,awaypoints,75.16,12,11,0
Easy As A Bisi,1,Pre-Snap Adjustment,Easy As A Bisi,awaypoints,103.64,8,7,4
The Peppy Kids,1,Heartbreak Kid,The Peppy Kids,homepoints,108.94,6,5,6
Team Aponte,1,Team Aponte,Soup du Jour,homepoints,117.32,4,3,8
Dillon Panthers,1,Dillon Panthers,Just Drew  It,homepoints,96.64,9,8,3
NightTraen Reign,1,NightTraen Reign,B1G HAUS,homepoints,95.4,10,9,2
Hart attack,1,Breaston Plants Inc,Hart attack,homepoints,149.2,1,0,11
Easy As A Bisi,1,Pre-Snap Adjustment,Easy As A Bisi,homepoints,137.12,2,1,10
The Peppy Kids,2,Just Drew  It,The Peppy Kids,awaypoints,92.52,8,7,4
Heartbreak Kid,2,Heartbreak Kid,Soup du Jour,awaypoints,99,6,5,6
Dillon Panthers,2,Dillon Panthers,Pre-Snap Adjustment,awaypoints,131.86,3,2,9
B1G HAUS,2,Breaston Plants Inc,B1G HAUS,awaypoints,83.52,11,10,1
Easy As A Bisi,2,NightTraen Reign,Easy As A Bisi,awaypoints,89.22,9,8,3
Hart attack,2,Hart attack,Team Aponte,awaypoints,109.8,4,3,8
The Peppy Kids,2,Just Drew  It,The Peppy Kids,homepoints,135.68,1,0,11
Heartbreak Kid,2,Heartbreak Kid,Soup du Jour,homepoints,93.84,7,6,5
Dillon Panthers,2,Dillon Panthers,Pre-Snap Adjustment,homepoints,105.92,5,4,7
B1G HAUS,2,Breaston Plants Inc,B1G HAUS,homepoints,88.96,10,9,2
Easy As A Bisi,2,NightTraen Reign,Easy As A Bisi,homepoints,133.26,2,1,10
Hart attack,2,Hart attack,Team Aponte,homepoints,79.52,12,11,0
B1G HAUS,3,Soup du Jour,B1G HAUS,awaypoints,103.66,7,6,5
Hart attack,3,Hart attack,Pre-Snap Adjustment,awaypoints,91.1,10,9,2
Just Drew  It,3,Just Drew  It,NightTraen Reign,awaypoints,152.92,2,1,10
Breaston Plants Inc,3,Breaston Plants Inc,Easy As A Bisi,awaypoints,99.1,9,8,3
Team Aponte,3,Team Aponte,The Peppy Kids,awaypoints,155.44,1,0,11
Dillon Panthers,3,Heartbreak Kid,Dillon Panthers,awaypoints,100.86,8,7,4
B1G HAUS,3,Soup du Jour,B1G HAUS,homepoints,143.44,3,2,9
Hart attack,3,Hart attack,Pre-Snap Adjustment,homepoints,87.98,12,11,0
Just Drew  It,3,Just Drew  It,NightTraen Reign,homepoints,105.26,5,4,7
Breaston Plants Inc,3,Breaston Plants Inc,Easy As A Bisi,homepoints,89.64,11,10,1
Team Aponte,3,Team Aponte,The Peppy Kids,homepoints,113.98,4,3,8
Dillon Panthers,3,Heartbreak Kid,Dillon Panthers,homepoints,103.74,6,5,6
Hart attack,4,Hart attack,B1G HAUS,awaypoints,112.6,3,2,9
Easy As A Bisi,4,Just Drew  It,Easy As A Bisi,awaypoints,72.12,11,10,1
The Peppy Kids,4,Dillon Panthers,The Peppy Kids,awaypoints,125.6,2,1,10
Team Aponte,4,Team Aponte,Pre-Snap Adjustment,awaypoints,91.8,8,7,4
Breaston Plants Inc,4,Breaston Plants Inc,Heartbreak Kid,awaypoints,101.88,5,4,7
Soup du Jour,4,Soup du Jour,NightTraen Reign,awaypoints,99.6,6,5,6
Hart attack,4,Hart attack,B1G HAUS,homepoints,64.12,12,11,0
Easy As A Bisi,4,Just Drew  It,Easy As A Bisi,homepoints,104.3,4,3,8
The Peppy Kids,4,Dillon Panthers,The Peppy Kids,homepoints,138.88,1,0,11
Team Aponte,4,Team Aponte,Pre-Snap Adjustment,homepoints,84.5,10,9,2
Breaston Plants Inc,4,Breaston Plants Inc,Heartbreak Kid,homepoints,86.28,9,8,3
Soup du Jour,4,Soup du Jour,NightTraen Reign,homepoints,95.4,7,6,5
Soup du Jour,5,Hart attack,Soup du Jour,awaypoints,132.12,4,3,8
Heartbreak Kid,5,Heartbreak Kid,B1G HAUS,awaypoints,191.42,1,0,11
Dillon Panthers,5,Easy As A Bisi,Dillon Panthers,awaypoints,107.84,8,7,4
Team Aponte,5,Just Drew  It,Team Aponte,awaypoints,54.64,12,11,0
The Peppy Kids,5,NightTraen Reign,The Peppy Kids,awaypoints,74.94,11,10,1
Pre-Snap Adjustment,5,Pre-Snap Adjustment,Breaston Plants Inc,awaypoints,135.92,3,2,9
Soup du Jour,5,Hart attack,Soup du Jour,homepoints,138.06,2,1,10
Heartbreak Kid,5,Heartbreak Kid,B1G HAUS,homepoints,86.94,10,9,2
Dillon Panthers,5,Easy As A Bisi,Dillon Panthers,homepoints,119.12,5,4,7
Team Aponte,5,Just Drew  It,Team Aponte,homepoints,118.24,6,5,6
The Peppy Kids,5,NightTraen Reign,The Peppy Kids,homepoints,110.04,7,6,5
Pre-Snap Adjustment,5,Pre-Snap Adjustment,Breaston Plants Inc,homepoints,97,9,8,3
Heartbreak Kid,6,Heartbreak Kid,Just Drew  It,awaypoints,98.6,7,6,5
Team Aponte,6,Breaston Plants Inc,Team Aponte,awaypoints,76.02,10,9,2
Easy As A Bisi,6,Soup du Jour,Easy As A Bisi,awaypoints,67.74,11,10,1
Hart attack,6,Hart attack,NightTraen Reign,awaypoints,151.86,1,0,11
Dillon Panthers,6,Dillon Panthers,B1G HAUS,awaypoints,140.7,3,2,9
The Peppy Kids,6,Pre-Snap Adjustment,The Peppy Kids,awaypoints,123.22,4,3,8
Heartbreak Kid,6,Heartbreak Kid,Just Drew  It,homepoints,55.72,12,11,0
Team Aponte,6,Breaston Plants Inc,Team Aponte,homepoints,95,9,8,3
Easy As A Bisi,6,Soup du Jour,Easy As A Bisi,homepoints,105.2,5,4,7
Hart attack,6,Hart attack,NightTraen Reign,homepoints,96.32,8,7,4
Dillon Panthers,6,Dillon Panthers,B1G HAUS,homepoints,103.82,6,5,6
The Peppy Kids,6,Pre-Snap Adjustment,The Peppy Kids,homepoints,140.84,2,1,10
Hart attack,7,Hart attack,Just Drew  It,awaypoints,110.36,3,2,9
The Peppy Kids,7,Easy As A Bisi,The Peppy Kids,awaypoints,78.42,10,9,2
NightTraen Reign,7,Heartbreak Kid,NightTraen Reign,awaypoints,51.36,12,11,0
Dillon Panthers,7,Team Aponte,Dillon Panthers,awaypoints,85.42,8,7,4
B1G HAUS,7,B1G HAUS,Pre-Snap Adjustment,awaypoints,96.86,6,5,6
Breaston Plants Inc,7,Soup du Jour,Breaston Plants Inc,awaypoints,87.74,7,6,5
Hart attack,7,Hart attack,Just Drew  It,homepoints,97.44,5,4,7
The Peppy Kids,7,Easy As A Bisi,The Peppy Kids,homepoints,119.72,1,0,11
NightTraen Reign,7,Heartbreak Kid,NightTraen Reign,homepoints,56.64,11,10,1
Dillon Panthers,7,Team Aponte,Dillon Panthers,homepoints,111.94,2,1,10
B1G HAUS,7,B1G HAUS,Pre-Snap Adjustment,homepoints,79.96,9,8,3
Breaston Plants Inc,7,Soup du Jour,Breaston Plants Inc,homepoints,105.58,4,3,8
Pre-Snap Adjustment,8,Just Drew  It,Pre-Snap Adjustment,awaypoints,89.38,9,8,3
NightTraen Reign,8,Breaston Plants Inc,NightTraen Reign,awaypoints,77.66,11,10,1
Hart attack,8,Hart attack,Heartbreak Kid,awaypoints,123.86,2,1,10
Dillon Panthers,8,Dillon Panthers,Soup du Jour,awaypoints,119.98,5,4,7
The Peppy Kids,8,The Peppy Kids,B1G HAUS,awaypoints,122.28,3,2,9
Easy As A Bisi,8,Easy As A Bisi,Team Aponte,awaypoints,159.06,1,0,11
Pre-Snap Adjustment,8,Just Drew  It,Pre-Snap Adjustment,homepoints,120.18,4,3,8
NightTraen Reign,8,Breaston Plants Inc,NightTraen Reign,homepoints,117.54,6,5,6
Hart attack,8,Hart attack,Heartbreak Kid,homepoints,109.9,7,6,5
Dillon Panthers,8,Dillon Panthers,Soup du Jour,homepoints,88.88,10,9,2
The Peppy Kids,8,The Peppy Kids,B1G HAUS,homepoints,73.6,12,11,0
Easy As A Bisi,8,Easy As A Bisi,Team Aponte,homepoints,109.28,8,7,4
Breaston Plants Inc,9,Breaston Plants Inc,Team Aponte,awaypoints,104.7,5,4,7
Dillon Panthers,9,NightTraen Reign,Dillon Panthers,awaypoints,114.8,3,2,9
Heartbreak Kid,9,Heartbreak Kid,Just Drew  It,awaypoints,109.54,4,3,8
Pre-Snap Adjustment,9,B1G HAUS,Pre-Snap Adjustment,awaypoints,81.74,11,10,1
The Peppy Kids,9,Hart attack,The Peppy Kids,awaypoints,83.1,10,9,2
Easy As A Bisi,9,Easy As A Bisi,Soup du Jour,awaypoints,145.94,1,0,11
Breaston Plants Inc,9,Breaston Plants Inc,Team Aponte,homepoints,89.1,9,8,3
Dillon Panthers,9,NightTraen Reign,Dillon Panthers,homepoints,130.52,2,1,10
Heartbreak Kid,9,Heartbreak Kid,Just Drew  It,homepoints,100.34,6,5,6
Pre-Snap Adjustment,9,B1G HAUS,Pre-Snap Adjustment,homepoints,98.08,7,6,5
The Peppy Kids,9,Hart attack,The Peppy Kids,homepoints,97.82,8,7,4
Easy As A Bisi,9,Easy As A Bisi,Soup du Jour,homepoints,80.96,12,11,0
Easy As A Bisi,10,Hart attack,Easy As A Bisi,awaypoints,97.94,9,8,3
Just Drew  It,10,Just Drew  It,B1G HAUS,awaypoints,133.72,2,1,10
Heartbreak Kid,10,Heartbreak Kid,Pre-Snap Adjustment,awaypoints,136.26,1,0,11
Dillon Panthers,10,Breaston Plants Inc,Dillon Panthers,awaypoints,95.44,10,9,2
The Peppy Kids,10,Soup du Jour,The Peppy Kids,awaypoints,74.82,11,10,1
NightTraen Reign,10,NightTraen Reign,Team Aponte,awaypoints,113.44,6,5,6
Easy As A Bisi,10,Hart attack,Easy As A Bisi,homepoints,128.78,4,3,8
Just Drew  It,10,Just Drew  It,B1G HAUS,homepoints,72.82,12,11,0
Heartbreak Kid,10,Heartbreak Kid,Pre-Snap Adjustment,homepoints,106.48,8,7,4
Dillon Panthers,10,Breaston Plants Inc,Dillon Panthers,homepoints,114.88,5,4,7
The Peppy Kids,10,Soup du Jour,The Peppy Kids,homepoints,133.22,3,2,9
NightTraen Reign,10,NightTraen Reign,Team Aponte,homepoints,108.6,7,6,5
Just Drew  It,11,Just Drew  It,Hart attack,awaypoints,94.08,6,5,6
Team Aponte,11,Heartbreak Kid,Team Aponte,awaypoints,118.2,4,3,8
The Peppy Kids,11,B1G HAUS,The Peppy Kids,awaypoints,78.72,10,9,2
Soup du Jour,11,Soup du Jour,Pre-Snap Adjustment,awaypoints,128.02,2,1,10
Easy As A Bisi,11,Dillon Panthers,Easy As A Bisi,awaypoints,59.4,12,11,0
Breaston Plants Inc,11,NightTraen Reign,Breaston Plants Inc,awaypoints,81.18,9,8,3
Just Drew  It,11,Just Drew  It,Hart attack,homepoints,88.64,8,7,4
Team Aponte,11,Heartbreak Kid,Team Aponte,homepoints,135.06,1,0,11
The Peppy Kids,11,B1G HAUS,The Peppy Kids,homepoints,103.38,5,4,7
Soup du Jour,11,Soup du Jour,Pre-Snap Adjustment,homepoints,120.16,3,2,9
Easy As A Bisi,11,Dillon Panthers,Easy As A Bisi,homepoints,77.16,11,10,1
Breaston Plants Inc,11,NightTraen Reign,Breaston Plants Inc,homepoints,91.94,7,6,5
Easy As A Bisi,12,B1G HAUS,Easy As A Bisi,awaypoints,95.44,6,5,6
Hart attack,12,Heartbreak Kid,Hart attack,awaypoints,85.54,9,8,3
The Peppy Kids,12,The Peppy Kids,Pre-Snap Adjustment,awaypoints,144.36,1,0,11
Breaston Plants Inc,12,Just Drew  It,Breaston Plants Inc,awaypoints,65.88,11,10,1
Team Aponte,12,NightTraen Reign,Team Aponte,awaypoints,106.02,5,4,7
Dillon Panthers,12,Dillon Panthers,Soup du Jour,awaypoints,78.5,10,9,2
Easy As A Bisi,12,B1G HAUS,Easy As A Bisi,homepoints,114.72,3,2,9
Hart attack,12,Heartbreak Kid,Hart attack,homepoints,95,7,6,5
The Peppy Kids,12,The Peppy Kids,Pre-Snap Adjustment,homepoints,126.88,2,1,10
Breaston Plants Inc,12,Just Drew  It,Breaston Plants Inc,homepoints,87.2,8,7,4
Team Aponte,12,NightTraen Reign,Team Aponte,homepoints,110.68,4,3,8
Dillon Panthers,12,Dillon Panthers,Soup du Jour,homepoints,47.66,12,11,0
NA,13,NA,The Peppy Kids,awaypoints,NA,13,12,-1
Team Aponte,13,Easy As A Bisi,Team Aponte,awaypoints,90.76,9,8,3
Breaston Plants Inc,13,Breaston Plants Inc,Hart attack,awaypoints,105.44,5,4,7
NA,13,NA,Dillon Panthers,awaypoints,NA,14,13,-2
Heartbreak Kid,13,NightTraen Reign,Heartbreak Kid,awaypoints,67.4,12,11,0
Soup du Jour,13,Soup du Jour,Pre-Snap Adjustment,awaypoints,128.4,1,0,11
B1G HAUS,13,B1G HAUS,Just Drew  It,awaypoints,94.76,8,7,4
NA,13,NA,The Peppy Kids,homepoints,105.6,4,3,8
Team Aponte,13,Easy As A Bisi,Team Aponte,homepoints,100.44,6,5,6
Breaston Plants Inc,13,Breaston Plants Inc,Hart attack,homepoints,90.46,10,9,2
NA,13,NA,Dillon Panthers,homepoints,116.24,2,1,10
Heartbreak Kid,13,NightTraen Reign,Heartbreak Kid,homepoints,107.02,3,2,9
Soup du Jour,13,Soup du Jour,Pre-Snap Adjustment,homepoints,99.1,7,6,5
B1G HAUS,13,B1G HAUS,Just Drew  It,homepoints,87.38,11,10,1
The Peppy Kids,14,Team Aponte,The Peppy Kids,awaypoints,94.68,6,5,6
Dillon Panthers,14,Breaston Plants Inc,Dillon Panthers,awaypoints,79.74,11,10,1
Easy As A Bisi,14,Easy As A Bisi,Hart attack,awaypoints,139.98,1,0,11
Heartbreak Kid,14,Soup du Jour,Heartbreak Kid,awaypoints,104.9,5,4,7
NightTraen Reign,14,B1G HAUS,NightTraen Reign,awaypoints,85.16,9,8,3
Just Drew  It,14,Just Drew  It,Pre-Snap Adjustment,awaypoints,105.48,3,2,9
The Peppy Kids,14,Team Aponte,The Peppy Kids,homepoints,105.3,4,3,8
Dillon Panthers,14,Breaston Plants Inc,Dillon Panthers,homepoints,91.1,7,6,5
Easy As A Bisi,14,Easy As A Bisi,Hart attack,homepoints,83.16,10,9,2
Heartbreak Kid,14,Soup du Jour,Heartbreak Kid,homepoints,119.06,2,1,10
NightTraen Reign,14,B1G HAUS,NightTraen Reign,homepoints,87.92,8,7,4
Just Drew  It,14,Just Drew  It,Pre-Snap Adjustment,homepoints,64.16,12,11,0
Dillon Panthers,15,Dillon Panthers,The Peppy Kids,awaypoints,123.24,3,2,9
Team Aponte,15,Breaston Plants Inc,Team Aponte,awaypoints,90.66,9,8,3
Hart attack,15,Easy As A Bisi,Hart attack,awaypoints,85.72,12,11,0
Heartbreak Kid,15,NightTraen Reign,Heartbreak Kid,awaypoints,122.7,4,3,8
Soup du Jour,15,Just Drew  It,Soup du Jour,awaypoints,110.98,7,6,5
B1G HAUS,15,B1G HAUS,Pre-Snap Adjustment,awaypoints,106.28,8,7,4
Dillon Panthers,15,Dillon Panthers,The Peppy Kids,homepoints,115.68,6,5,6
Team Aponte,15,Breaston Plants Inc,Team Aponte,homepoints,120.58,5,4,7
Hart attack,15,Easy As A Bisi,Hart attack,homepoints,87.72,11,10,1
Heartbreak Kid,15,NightTraen Reign,Heartbreak Kid,homepoints,141.16,1,0,11
Soup du Jour,15,Just Drew  It,Soup du Jour,homepoints,127.84,2,1,10
B1G HAUS,15,B1G HAUS,Pre-Snap Adjustment,homepoints,89.08,10,9,2
